Title,ID,Cover,Genres,Action and Adventure,Animals,Art,Children,Contemporary,Crime,Death,Dystopian,Espionage,Family,Fantasy,Fiction,Friendship,Health,Historical,Horror,Humor,Legal,Memoir,Murder,Mystery and Detective,Paranormal,Political,Psychological,Relationships,Romance,Self-help,Suspense,Thriller,Travel,War,Women,author,year,total_weeks,first_week,debut_rank,best_rank
H IS FOR HOMICIDE,/works/OL14852185W,579109,"['Women', 'Mystery and Detective', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Sue Grafton,1991,15,1991-05-05,15,2
H IS FOR HOMICIDE,/works/OL14852185W,3108161,"['Women', 'Mystery and Detective', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Sue Grafton,1991,15,1991-05-05,15,2
H IS FOR HOMICIDE,/works/OL14852185W,226697,"['Women', 'Mystery and Detective', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Sue Grafton,1991,15,1991-05-05,15,2
I IS FOR INNOCENT,/works/OL14852192W,579110,"['Fiction', 'Women', 'Mystery and Detective']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Sue Grafton,1992,11,1992-04-26,2,2
G IS FOR GUMSHOE,/works/OL14852180W,579057,"['Women', 'Mystery and Detective', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Sue Grafton,1990,6,1990-05-06,8,8
A DOGS JOURNEY,/works/OL16499116W,12726463,"['Fiction', 'Relationships', 'Family']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,W. Bruce Cameron,2012,1,2012-05-27,14,14
CHANGING FACES,/works/OL72056W,35784,"['Friendship', 'Women', 'Psychological', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Kimberla Lawson Roby,2006,1,2006-02-19,14,14
CHAOS,/works/OL21600250W,12629793,"['Thriller', 'Suspense', 'Fiction', 'Women', 'Mystery and Detective']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,Patricia Cornwell,2016,3,2016-12-04,7,7
CHAPTERHOUSE: DUNE,/works/OL893508W,5536140,"['Fiction', 'Action and Adventure']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frank Herbert,1985,16,1985-04-21,14,2
CHAPTERHOUSE: DUNE,/works/OL893508W,1009425,"['Fiction', 'Action and Adventure']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frank Herbert,1985,16,1985-04-21,14,2
CHAPTERHOUSE: DUNE,/works/OL893508W,284478,"['Fiction', 'Action and Adventure']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frank Herbert,1985,16,1985-04-21,14,2
CHARADE,/works/OL167305W,6923011,"['Relationships', 'Suspense', 'Fiction', 'Women', 'Murder']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,Sandra Brown,1994,5,1994-05-01,12,10
CHARADE,/works/OL167305W,10440338,"['Relationships', 'Suspense', 'Fiction', 'Women', 'Murder']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,Sandra Brown,1994,5,1994-05-01,12,10
CHARADE,/works/OL167305W,12327825,"['Relationships', 'Suspense', 'Fiction', 'Women', 'Murder']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,Sandra Brown,1994,5,1994-05-01,12,10
CHARLESTON,/works/OL56094W,362140,"['Fiction', 'Historical']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Jakes,2002,4,2002-08-25,12,12
CHARLOTTE GRAY,/works/OL80178W,228573,"['Fiction', 'Historical', 'War']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Sebastian Faulks,1999,1,1999-03-14,17,17
CHARLOTTES WEB,/works/OL483391W,8461797,"['Fiction', 'Friendship', 'Fantasy', 'Animals', 'Humor']",0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E.B. White,1952,3,1952-11-09,13,13
CHARLOTTES WEB,/works/OL483391W,12059039,"['Fiction', 'Friendship', 'Fantasy', 'Animals', 'Humor']",0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E.B. White,1952,3,1952-11-09,13,13
CHARM!,/works/OL9681809W,2737978,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kendall Hart,2008,2,2008-02-24,15,13
CHARMING BILLY,/works/OL1980257W,3738308,"['Fiction', 'Relationships', 'Family']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Alice McDermott,1998,6,1998-12-27,12,5
