Title,ID,Cover,Genres,Action and Adventure,Animals,Art,Children,Contemporary,Crime,Death,Dystopian,Espionage,Family,Fantasy,Fiction,Friendship,Health,Historical,Horror,Humor,Legal,Memoir,Murder,Mystery and Detective,Paranormal,Political,Psychological,Relationships,Romance,Self-help,Suspense,Thriller,Travel,War,Women,author,year,total_weeks,first_week,debut_rank,best_rank,Equal-Frequency,success
H IS FOR HOMICIDE,/works/OL14852185W,579109,"['Women', 'Mystery and Detective', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Sue Grafton,1991,15,1991-05-05,15,2,13.0 < x ≤ 178.0,excellent
H IS FOR HOMICIDE,/works/OL14852185W,3108161,"['Women', 'Mystery and Detective', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Sue Grafton,1991,15,1991-05-05,15,2,13.0 < x ≤ 178.0,excellent
H IS FOR HOMICIDE,/works/OL14852185W,226697,"['Women', 'Mystery and Detective', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Sue Grafton,1991,15,1991-05-05,15,2,13.0 < x ≤ 178.0,excellent
I IS FOR INNOCENT,/works/OL14852192W,579110,"['Fiction', 'Women', 'Mystery and Detective']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Sue Grafton,1992,11,1992-04-26,2,2,7.0 < x ≤ 13.0,good
G IS FOR GUMSHOE,/works/OL14852180W,579057,"['Women', 'Mystery and Detective', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Sue Grafton,1990,6,1990-05-06,8,8,4.0 < x ≤ 7.0,average
A DOGS JOURNEY,/works/OL16499116W,12726463,"['Fiction', 'Relationships', 'Family']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,W. Bruce Cameron,2012,1,2012-05-27,14,14,0.999 < x ≤ 2.0,poor
CHANGING FACES,/works/OL72056W,35784,"['Friendship', 'Women', 'Psychological', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Kimberla Lawson Roby,2006,1,2006-02-19,14,14,0.999 < x ≤ 2.0,poor
CHAOS,/works/OL21600250W,12629793,"['Thriller', 'Suspense', 'Fiction', 'Women', 'Mystery and Detective']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,Patricia Cornwell,2016,3,2016-12-04,7,7,2.0 < x ≤ 4.0,mediocre
CHAPTERHOUSE: DUNE,/works/OL893508W,5536140,"['Fiction', 'Action and Adventure']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frank Herbert,1985,16,1985-04-21,14,2,13.0 < x ≤ 178.0,excellent
CHAPTERHOUSE: DUNE,/works/OL893508W,1009425,"['Fiction', 'Action and Adventure']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frank Herbert,1985,16,1985-04-21,14,2,13.0 < x ≤ 178.0,excellent
CHAPTERHOUSE: DUNE,/works/OL893508W,284478,"['Fiction', 'Action and Adventure']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frank Herbert,1985,16,1985-04-21,14,2,13.0 < x ≤ 178.0,excellent
CHARADE,/works/OL167305W,6923011,"['Relationships', 'Suspense', 'Fiction', 'Women', 'Murder']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,Sandra Brown,1994,5,1994-05-01,12,10,4.0 < x ≤ 7.0,average
CHARADE,/works/OL167305W,10440338,"['Relationships', 'Suspense', 'Fiction', 'Women', 'Murder']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,Sandra Brown,1994,5,1994-05-01,12,10,4.0 < x ≤ 7.0,average
CHARADE,/works/OL167305W,12327825,"['Relationships', 'Suspense', 'Fiction', 'Women', 'Murder']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,Sandra Brown,1994,5,1994-05-01,12,10,4.0 < x ≤ 7.0,average
CHARLESTON,/works/OL56094W,362140,"['Fiction', 'Historical']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Jakes,2002,4,2002-08-25,12,12,2.0 < x ≤ 4.0,mediocre
CHARLOTTE GRAY,/works/OL80178W,228573,"['Fiction', 'Historical', 'War']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Sebastian Faulks,1999,1,1999-03-14,17,17,0.999 < x ≤ 2.0,poor
CHARLOTTES WEB,/works/OL483391W,8461797,"['Fiction', 'Friendship', 'Fantasy', 'Animals', 'Humor']",0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E.B. White,1952,3,1952-11-09,13,13,2.0 < x ≤ 4.0,mediocre
CHARLOTTES WEB,/works/OL483391W,12059039,"['Fiction', 'Friendship', 'Fantasy', 'Animals', 'Humor']",0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E.B. White,1952,3,1952-11-09,13,13,2.0 < x ≤ 4.0,mediocre
CHARM!,/works/OL9681809W,2737978,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kendall Hart,2008,2,2008-02-24,15,13,0.999 < x ≤ 2.0,poor
CHARMING BILLY,/works/OL1980257W,3738308,"['Fiction', 'Relationships', 'Family']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Alice McDermott,1998,6,1998-12-27,12,5,4.0 < x ≤ 7.0,average
A DOGS LIFE,/works/OL80493W,418340,"['Fiction', 'Relationships']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Peter Mayle,1995,9,1995-04-09,12,5,7.0 < x ≤ 13.0,good
CHARMS FOR THE EASY LIFE,/works/OL1802337W,8780613,"['Fiction', 'Women', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Kaye Gibbons,1993,8,1993-05-02,11,11,7.0 < x ≤ 13.0,good
CHARMS FOR THE EASY LIFE,/works/OL1802337W,4006078,"['Fiction', 'Women', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Kaye Gibbons,1993,8,1993-05-02,11,11,7.0 < x ≤ 13.0,good
CHARONS CLAW,/works/OL16637308W,7314021,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R. A. Salvatore,2012,1,2012-08-26,4,4,0.999 < x ≤ 2.0,poor
CHASING DARKNESS,/works/OL2005878W,5431237,"['Fiction', 'Mystery and Detective']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Robert Crais,2008,2,2008-07-20,7,7,0.999 < x ≤ 2.0,poor
CHASING DESTINY,/works/OL98627W,362314,"['Fiction', 'Contemporary', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Eric Jerome Dickey,2006,3,2006-04-30,8,6,2.0 < x ≤ 4.0,mediocre
CHASING FIRE,/works/OL15673515W,6685199,"['Women', 'Suspense', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Nora Roberts,2011,5,2011-05-01,1,1,4.0 < x ≤ 7.0,average
CHASING FIRE,/works/OL15673515W,7948589,"['Women', 'Suspense', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Nora Roberts,2011,5,2011-05-01,1,1,4.0 < x ≤ 7.0,average
CHASING FIRE,/works/OL15673515W,8357488,"['Women', 'Suspense', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Nora Roberts,2011,5,2011-05-01,1,1,4.0 < x ≤ 7.0,average
CHASING HARRY WINSTON,/works/OL5825375W,6469927,"['Fiction', 'Women', 'Friendship']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Lauren Weisberger,2008,11,2008-06-15,6,4,7.0 < x ≤ 13.0,good
